
ID	PARAM	TYPE	Year	DD	Jan	SYM	Feb	SYM	Mar	SYM	Apr	SYM	May	SYM	Jun	SYM	Jul	SYM	Aug	SYM	Sep	SYM	Oct	SYM	Nov	SYM	Dec	SYM

08NM134	1	1	1965	1													0.156		0.071		0.062		0.048		0.048		0.045	
08NM134	1	1	1965	2													0.150		0.068		0.062		0.048		0.048		0.048	
08NM134	1	1	1965	3													0.150		0.082		0.062		0.048		0.048		0.048	
08NM134	1	1	1965	4													0.142		0.116		0.062		0.048		0.048		0.048	
08NM134	1	1	1965	5													0.136		0.085		0.059		0.048		0.048		0.048	
08NM134	1	1	1965	6													0.130		0.082		0.059		0.051		0.048		0.051	
08NM134	1	1	1965	7													0.125		0.074		0.057		0.051		0.048		0.051	
08NM134	1	1	1965	8													0.122		0.071		0.057		0.048		0.048		0.051	
08NM134	1	1	1965	9													0.116		0.071		0.051		0.048		0.048		0.051	
08NM134	1	1	1965	10													0.116		0.076		0.051		0.048		0.048		0.051	
08NM134	1	1	1965	11													0.122		0.071		0.051		0.048		0.048		0.051	
08NM134	1	1	1965	12													0.116		0.082		0.051		0.048		0.042		0.042	
08NM134	1	1	1965	13													0.110		0.082		0.051		0.048		0.048		0.042	E
08NM134	1	1	1965	14													0.105		0.074		0.068		0.051		0.048		0.040	E
08NM134	1	1	1965	15													0.099		0.071		0.068		0.048		0.048		0.040	E
08NM134	1	1	1965	16													0.082		0.071		0.059		0.048		0.048		0.040	B
08NM134	1	1	1965	17													0.091		0.068		0.059		0.048		0.048		0.040	B
08NM134	1	1	1965	18													0.091		0.068		0.057		0.048		0.048		0.037	B
08NM134	1	1	1965	19													0.085		0.068		0.057		0.045		0.048		0.037	B
08NM134	1	1	1965	20													0.091		0.068		0.057		0.048		0.048		0.037	B
08NM134	1	1	1965	21													0.099		0.068		0.057		0.048		0.051		0.037	B
08NM134	1	1	1965	22													0.091		0.068		0.057		0.048		0.048		0.037	B
08NM134	1	1	1965	23													0.085		0.074		0.051		0.048		0.048		0.037	B
08NM134	1	1	1965	24													0.082		0.082		0.051		0.045		0.048		0.037	B
08NM134	1	1	1965	25											0.184		0.082		0.074		0.048		0.045		0.048		0.037	B
08NM134	1	1	1965	26											0.184		0.085		0.071		0.051		0.045		0.048	E	0.037	B
08NM134	1	1	1965	27											0.176		0.085		0.068		0.048		0.045		0.045	E	0.037	B
08NM134	1	1	1965	28											0.170		0.076		0.068		0.048		0.045		0.045	E	0.037	B
08NM134	1	1	1965	29											0.164		0.074		0.071		0.048		0.045		0.045		0.037	B
08NM134	1	1	1965	30											0.164		0.071		0.068		0.048		0.045		0.045		0.037	B
08NM134	1	1	1965	31													0.071		0.062				0.045				0.037	B
08NM134	1	1	1966	1	0.037	B	0.037	B	0.023		0.048		0.096		0.263		0.068		0.040		0.028		0.025		0.034		0.028	B
08NM134	1	1	1966	2	0.037	B	0.037	B	0.023		0.048		0.105		0.255		0.074		0.040		0.025		0.028		0.034		0.028	B
08NM134	1	1	1966	3	0.037	B	0.037	B	0.023		0.045		0.156		0.255		0.085		0.037		0.025		0.025		0.034		0.028	B
08NM134	1	1	1966	4	0.037	B	0.037	B	0.023		0.057		0.246		0.238		0.099		0.042		0.025		0.025		0.034		0.028	B
08NM134	1	1	1966	5	0.037	B	0.037	B	0.023		0.068		0.289		0.229		0.085		0.051		0.023		0.025		0.034		0.028	B
08NM134	1	1	1966	6	0.037	B	0.037	B	0.023		0.105		0.648		0.212		0.105		0.048		0.025		0.025		0.034		0.028	B
08NM134	1	1	1966	7	0.037	B	0.037	B	0.023		0.110		0.818		0.198		0.091		0.042		0.025		0.028		0.031		0.028	B
08NM134	1	1	1966	8	0.037	B	0.037	B	0.023		0.125		0.699		0.184		0.082		0.040		0.023		0.028		0.031	B	0.028	B
08NM134	1	1	1966	9	0.037	B	0.037	B	0.023		0.150		0.818		0.204		0.082		0.037		0.023		0.023		0.031	B	0.028	B
08NM134	1	1	1966	10	0.037	B	0.037	B	0.020		0.136		0.759		0.184		0.076		0.037		0.023		0.025		0.028	B	0.028	B
08NM134	1	1	1966	11	0.037	B	0.037	B	0.020		0.125		0.631		0.170		0.076		0.034		0.025		0.025		0.028	B	0.028	B
08NM134	1	1	1966	12	0.037	B	0.037	B	0.017		0.125		0.614		0.156		0.076		0.037		0.025		0.025		0.028	B	0.028	B
