ID,PARAM,TYPE,Year,DD,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM
08NM173,1,1,1970,1,,,,,,,,,,,,,,,,,,,0.010,,0.015,,0.014,
08NM173,1,1,1970,2,,,,,,,,,,,,,,,,,,,0.011,,0.017,,0.016,
08NM173,1,1,1970,3,,,,,,,,,,,,,,,,,,,0.010,,0.016,,0.014,
08NM173,1,1,1970,4,,,,,,,,,,,,,,,,,,,0.012,,0.018,,0.014,
08NM173,1,1,1970,5,,,,,,,,,,,,,,,,,,,0.016,,0.018,,0.014,B
08NM173,1,1,1970,6,,,,,,,,,,,,,,,,,,,0.017,,0.025,,0.014,B
08NM173,1,1,1970,7,,,,,,,,,,,,,,,,,,,0.018,,0.024,,0.014,B
08NM173,1,1,1970,8,,,,,,,,,,,,,,,,,,,0.014,,0.025,,0.014,B
08NM173,1,1,1970,9,,,,,,,,,,,,,,,,,,,0.018,,0.025,,0.015,B
08NM173,1,1,1970,10,,,,,,,,,,,,,,,,,,,0.017,,0.021,,0.015,B
08NM173,1,1,1970,11,,,,,,,,,,,,,,,,,,,0.017,,0.023,,0.014,B
08NM173,1,1,1970,12,,,,,,,,,,,,,,,,,,,0.018,,0.024,,0.014,
08NM173,1,1,1970,13,,,,,,,,,,,,,,,,,,,0.016,,0.023,,0.014,
08NM173,1,1,1970,14,,,,,,,,,,,,,,,,,,,0.015,,0.019,,0.015,
08NM173,1,1,1970,15,,,,,,,,,,,,,,,,,,,0.016,,0.021,,0.015,
08NM173,1,1,1970,16,,,,,,,,,,,,,,,,,,,0.016,,0.021,,0.015,B
08NM173,1,1,1970,17,,,,,,,,,,,,,,,,,,,0.017,,0.024,,0.015,B
08NM173,1,1,1970,18,,,,,,,,,,,,,,,,,,,0.015,,0.022,,0.015,B
08NM173,1,1,1970,19,,,,,,,,,,,,,,,,,,,0.017,,0.022,,0.014,B
08NM173,1,1,1970,20,,,,,,,,,,,,,,,,,,,0.017,,0.019,,0.014,B
08NM173,1,1,1970,21,,,,,,,,,,,,,,,,,,,0.021,,0.015,,0.014,B
08NM173,1,1,1970,22,,,,,,,,,,,,,,,,,,,0.023,,0.016,,0.014,B
08NM173,1,1,1970,23,,,,,,,,,,,,,,,,,,,0.028,,0.014,,0.014,B
08NM173,1,1,1970,24,,,,,,,,,,,,,,,,,,,0.026,,0.015,,0.014,B
08NM173,1,1,1970,25,,,,,,,,,,,,,,,,,,,0.021,,0.015,,0.014,B
08NM173,1,1,1970,26,,,,,,,,,,,,,,,,,,,0.020,,0.015,,0.014,B
08NM173,1,1,1970,27,,,,,,,,,,,,,,,,,,,0.016,,0.016,,0.014,B
08NM173,1,1,1970,28,,,,,,,,,,,,,,,,,,,0.018,,0.016,,0.014,B
08NM173,1,1,1970,29,,,,,,,,,,,,,,,,,,,0.017,,0.014,,0.014,B
08NM173,1,1,1970,30,,,,,,,,,,,,,,,,,0.009,A,0.016,,0.014,,0.014,B
08NM173,1,1,1970,31,,,,,,,,,,,,,,,,,,,0.013,,,,0.014,B
08NM173,1,1,1971,1,0.014,B,0.020,B,0.021,,0.020,,0.102,,0.351,,0.119,,0.048,,0.037,,0.028,,0.025,,0.026,
08NM173,1,1,1971,2,0.014,,0.021,B,0.020,,0.018,,0.136,,0.331,,0.113,,0.042,,0.031,,0.026,,0.024,,0.025,
08NM173,1,1,1971,3,0.014,B,0.022,,0.019,,0.019,,0.212,,0.498,,0.110,,0.042,,0.031,,0.025,,0.024,,0.022,
08NM173,1,1,1971,4,0.013,B,0.024,,0.022,,0.022,,0.300,,0.422,,0.108,,0.040,,0.025,,0.026,,0.026,,0.023,
08NM173,1,1,1971,5,0.013,B,0.025,,0.020,,0.024,,0.436,,0.362,,0.105,,0.040,,0.025,,0.025,,0.020,,0.026,
08NM173,1,1,1971,6,0.013,B,0.023,,0.019,,0.034,,0.464,,0.345,,0.102,,0.040,,0.023,,0.024,,0.028,,0.026,
08NM173,1,1,1971,7,0.013,B,0.023,,0.018,,0.031,,0.473,,0.323,,0.102,,0.042,,0.024,,0.023,,0.027,,0.022,
08NM173,1,1,1971,8,0.013,B,0.023,,0.021,,0.028,,0.535,,0.303,,0.096,,0.037,,0.023,,0.023,,0.025,,0.022,
08NM173,1,1,1971,9,0.013,B,0.022,,0.021,,0.025,,0.524,,0.272,,0.108,,0.031,,0.024,,0.023,,0.025,,0.024,
08NM173,1,1,1971,10,0.012,B,0.022,,0.020,,0.024,,0.484,,0.252,,0.130,,0.031,,0.023,,0.022,,0.025,,0.025,
08NM173,1,1,1971,11,0.012,B,0.022,,0.019,,0.022,,0.510,,0.235,,0.110,,0.028,,0.022,,0.022,,0.026,,0.025,
08NM173,1,1,1971,12,0.012,B,0.021,,0.019,,0.024,,0.620,,0.227,,0.105,,0.027,,0.020,,0.022,,0.028,,0.026,
08NM173,1,1,1971,13,0.012,B,0.022,,0.019,,0.034,,1.070,,0.283,,0.099,,0.026,,0.022,,0.024,,0.031,,0.025,
08NM173,1,1,1971,14,0.012,B,0.024,,0.019,,0.034,,0.824,,0.297,,0.091,,0.026,,0.020,,0.026,,0.034,,0.024,
08NM173,1,1,1971,15,0.012,B,0.023,,0.019,,0.034,,0.631,,0.261,,0.085,,0.027,,0.020,,0.025,,0.028,,0.025,
08NM173,1,1,1971,16,0.012,B,0.020,,0.018,,0.026,,0.575,,0.241,,0.082,,0.026,,0.020,,0.025,,0.025,,0.025,
08NM173,1,1,1971,17,0.012,B,0.020,,0.018,,0.026,,0.544,,0.221,,0.079,,0.026,,0.021,,0.024,,0.024,,0.025,
08NM173,1,1,1971,18,0.012,B,0.021,,0.018,,0.031,,0.496,,0.210,,0.079,,0.027,,0.022,,0.023,,0.025,,0.025,
08NM173,1,1,1971,19,0.013,B,0.022,,0.018,,0.045,,0.498,,0.212,,0.076,,0.025,,0.021,,0.031,,0.025,,0.025,
08NM173,1,1,1971,20,0.013,B,0.023,,0.020,,0.051,,0.476,,0.198,,0.074,,0.024,,0.020,,0.031,,0.028,,0.026,
08NM173,1,1,1971,21,0.013,B,0.025,,0.021,,0.057,,0.439,,0.190,,0.068,,0.022,,0.022,,0.027,,0.025,,0.027,
08NM173,1,1,1971,22,0.013,B,0.024,,0.018,,0.054,,0.430,,0.176,,0.065,,0.025,,0.021,,0.024,,0.024,,0.026,
08NM173,1,1,1971,23,0.014,B,0.022,,0.020,,0.062,,0.428,,0.170,,0.065,,0.024,,0.020,,0.025,,0.023,,0.026,
08NM173,1,1,1971,24,0.014,B,0.021,,0.021,,0.068,,0.433,,0.161,,0.062,,0.024,,0.020,,0.025,,0.025,,0.026,
08NM173,1,1,1971,25,0.014,B,0.020,,0.020,,0.076,,0.442,,0.164,,0.062,,0.020,,0.020,,0.025,,0.025,,0.025,
