#Upper Colorado Basin Intervening Natural Flows (ac-ft/mon)
#start 1 1906
#end 12 2001
"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ"
37525,31693,3770,22230,2600,5317,2929,1786,18000,2435,5396,11213,3905,29285,17735,-1886,2187,24238,23136,820
38047,21806,3898,18102,3500,16175,4306,3506,17000,-1202,17172,13950,8672,21687,16968,-4474,3066,23185,42586,24584
64812,37824,4327,34673,7100,19339,13712,4453,29000,12659,35318,78151,37674,54433,55176,73060,8013,32935,99182,-23667
166869,89464,7688,99312,28000,33978,76052,-19033,104000,28958,89620,200724,49721,57166,53490,-13069,10216,166627,111805,-136948
603358,325303,36123,297887,73000,242627,178047,-7890,316000,8591,155904,550294,162605,205534,122383,26864,49937,464408,27358,-203232
809692,499300,56665,397763,80000,277548,169388,91435,395400,21416,198047,454467,157492,304580,167681,108712,105769,431139,148359,139314
417092,325963,35836,177746,21000,184192,73336,53031,313900,28477,82075,179997,64669,139196,99269,83435,39943,131339,165119,334845
193160,148095,13887,86083,6400,101456,47813,13960,148200,15014,57120,55512,34265,62315,60456,45430,21031,59225,200388,235276
210126,117988,14838,47100,4100,148565,48778,32593,80700,5999,27732,47841,16663,56374,54942,50060,14606,53740,194900,275514
108379,71206,8766,42234,4600,49485,22429,7597,37400,5709,6094,37298,18071,35897,29477,20301,4239,37553,55282,137790
64733,36378,4863,27137,4900,30818,5354,11827,40000,7102,-2663,32195,13263,38722,30569,34675,6421,21532,22755,72425
49279,38807,5813,21187,2200,17229,2884,4221,31000,8291,6658,24881,11134,34315,27086,6030,2078,14707,15798,29714
42194,30554,4338,21662,2900,8301,3073,-1362,33000,5846,20033,19402,10984,34968,17687,8110,2764,8101,17745,66460
50071,27955,2989,18011,4500,20579,6255,2150,42000,4260,26197,25734,20750,48963,29196,13604,3939,11830,15684,2682
96240,42992,3609,47391,9900,26900,22834,5744,75000,17609,103974,73995,37306,47342,42326,17906,6019,30445,26282,55316
196106,79483,13100,105900,30000,46920,76103,-14876,180000,22985,148628,256164,79940,92401,62492,-9104,10036,73753,48456,-32649
433066,169246,22232,199778,49000,162755,148870,-29110,398000,-3406,209699,481820,185283,170954,105193,-18114,38518,161990,122181,-305776
1001772,523222,74941,458887,95000,310112,195277,46039,507600,27245,299269,599420,175690,466440,205098,99007,115164,359413,258952,148684
718018,482421,54853,336429,37000,170602,108749,93609,430900,33584,290821,325871,156412,422804,163781,294285,61757,277620,165855,478120
229194,157343,18224,133546,10000,49539,47215,26949,177600,2453,79559,65357,91072,103064,77496,187766,19757,97724,128685,218244
116369,74996,9575,70663,4000,35538,30176,694,54500,7165,26735,31784,37632,70122,42707,71432,6992,49311,73362,141661
92511,64260,8749,46451,5600,13234,16771,6757,44300,4952,7455,33334,11660,48834,33406,48534,4695,47900,49514,19895
59764,28615,5481,27519,5100,23914,225,7642,34000,928,-1185,20695,8080,34542,27858,27691,4703,33100,17091,11704
46132,19486,5584,20416,1700,32794,4066,-8088,17000,-337,10368,13547,3629,23346,24621,-1906,2357,23600,15961,13854
52790,38169,3867,21133,2700,31520,6986,6015,17000,322,19967,11910,2085,17604,17745,-6698,3094,25300,22636,-17953
40479,39509,4084,17916,3900,31709,10053,11170,18000,-771,27190,15871,1218,18989,13997,-6268,3215,44100,48872,36310
62629,50442,4530,31470,7000,48303,29886,27990,45000,7710,61696,39989,16264,26355,24988,-2313,6036,119000,46380,11407
127924,111101,11561,80439,23000,64312,98465,10731,95000,15722,74345,116275,21300,38549,41771,-10804,8420,179000,33355,-99242
244207,156796,18335,116675,30000,81956,77704,27036,218000,3740,56301,242249,68811,74490,67373,-1778,11888,185000,73012,-156181
528043,333728,42651,204977,45000,115836,74881,59751,294200,25147,138756,275354,75804,193201,96894,72211,57377,249629,132525,-93605
237460,207356,26706,116176,13000,60916,34496,37850,197000,28971,86980,125107,73681,130296,64987,113384,29769,134974,133638,71536
144038,111947,13453,92717,8000,10200,22671,19278,138800,9856,55651,40358,62967,56755,49357,116681,14435,167344,91932,-108963
69132,52259,10515,34123,4500,32913,17784,9648,46300,6795,25620,20937,29484,36462,28009,33765,5675,44900,58807,30460
54734,35171,6962,29038,3000,37787,32360,-943,40000,76,31464,22695,11839,43097,31080,41187,3098,40400,35503,-14921
46300,44102,4806,21194,4300,29025,19096,8062,25000,-1174,12368,18202,5685,27811,23982,16595,2256,24100,24842,39155
41728,44089,6639,20361,2200,42340,14520,-2102,6000,5171,11512,9877,2367,14951,14181,-14779,3218,18300,27672,43900
47445,46735,4956,20044,3300,32242,12258,7380,27000,-2670,21034,14894,5950,28998,23207,3253,3448,35100,31615,12800
36981,29905,3498,17502,4000,29733,10948,2878,20000,-800,37972,13585,3402,26901,12700,-18414,3222,20700,38009,24736
53003,40508,4621,34379,7100,23533,27850,4446,89000,27900,93505,84917,44293,50399,51153,58370,6644,109000,42149,-89049
94156,77648,9693,83307,23000,40584,152239,-36518,126000,27651,92783,165236,49893,54867,49110,-11989,8083,261000,41939,-188190
365065,332140,31940,329070,79000,218555,318719,-7491,360000,2585,192947,472119,144433,185273,113079,-63247,44689,365300,164220,-299099
1492179,627566,83716,473112,98000,288483,181781,4803,653800,38108,314893,766060,202830,535168,230581,175022,131211,449955,247355,208631
564560,408244,56685,270697,31000,109827,128828,6237,375100,35524,113268,303486,162235,294512,155108,299802,49472,152337,256964,336033
199280,165224,19405,105565,9000,66083,56112,8738,182800,23064,80467,62591,102624,125758,71990,117057,23260,224482,241495,-4573
154107,91963,18355,130783,10000,-29424,36895,1432,142600,8356,36302,57560,64963,130191,64711,126826,13151,366400,188830,-87605
95330,61182,9649,62551,6000,22505,24397,-8098,45500,978,27197,32412,20808,53222,35480,35243,7908,66554,76925,4903
66070,36474,4904,27096,4300,53045,10184,517,40000,-3018,4593,27100,14675,38438,27867,27747,9605,40767,39312,20314
47527,40603,4386,22614,1900,68156,14847,-8218,6000,3553,15089,15600,5107,33343,9843,-9146,7700,34734,36621,27289
51775,47983,4386,20614,3200,53112,12904,2416,6000,12001,34537,9007,561,22852,6988,-30458,9000,42612,19321,-39489
40592,45500,4713,17287,3500,47305,13732,-1549,36000,2930,53410,17799,10929,34267,16334,-32785,11100,36939,59232,76330
114650,76352,6968,82032,17400,63013,67930,18390,175000,33611,158469,108466,59694,64303,61997,41641,44800,139723,52335,17097
192236,112018,13854,161146,45400,67478,183623,-14769,130000,24179,99868,218954,60900,113159,76064,33407,46808,158355,63701,-55906
