1911	39500
1912	61900   	
1913	76600	
1914	42200
1915	28200
1916	56000
1917	70500
1918	52800
1919	52000
1920	43600
1921	69700
1922	62400
1923	49600
1924	58900
1925	59800
1926	35900
1927	68600
1928	72100
1929	52700
1930	31000
1931	40800
1932	72100
1933	81400
1934	45900
1935	44000
1936	63200
1937	34300
1938	63400
1939	46000
1940	37100
1941	28900
1942	37100
1943	52200
1944	34200
1945	44400
1946	36600
1947	69900
1948	99000
1949	76200
1950	62600
1951	44200
1952	49200
1953	53100
1954	58800
1955	64100
1956	77800
1957	71200
1958	59600
1959	55100
1960	49600
1961	58600
1962	39700
1963	38200
1964	103000
1965	47900
