year	nchr	arc5	atr4	bfb3	cat51	ccc5	cod21	col5	dil13	dis5	djm	dou6	dry8	efu4	egl34	enc13	fbn	gmr20	gou31	gvr6	har2	hot1	lan34	lbc1	ltb7	mcp5	mdp6	mtr3	nav2	nmm8	nmv6	npu20	nur	pic14	plu6	prd31	pum85	rck6	red4	rif16	rpc12	sap4	sar21	sfk4	slk21	srs6	trg55	trp7	una43	vas4	wed31	wil44
1400	22	NA	NA	0.373	0.044	NA	NA	NA	0.722	NA	NA	NA	NA	NA	0.742	0.814	NA	0.565	0.559	NA	0.943	NA	0.777	NA	NA	0.749	NA	NA	0.238	0.864	NA	1.06	NA	0.617	NA	0.918	0.782	NA	NA	0.649	NA	NA	NA	NA	0.634	NA	0.755	NA	0.761	NA	0.61	0.504	
1401	22	NA	NA	0.991	0.529	NA	NA	NA	1.041	NA	NA	NA	NA	NA	1.127	0.716	NA	0.94	0.985	NA	0.938	NA	0.8	NA	NA	1.195	NA	NA	0.439	0.833	NA	0.716	NA	0.959	NA	0.778	0.945	NA	NA	1.03	NA	NA	NA	NA	1.001	NA	1.32	NA	0.85	NA	0.745	1.11	
1402	22	NA	NA	0.896	0.497	NA	NA	NA	1.334	NA	NA	NA	NA	NA	1.003	1.173	NA	1.007	0.959	NA	0.145	NA	0.838	NA	NA	0.731	NA	NA	0.389	0.737	NA	1.494	NA	0.747	NA	0.676	0.944	NA	NA	0.835	NA	NA	NA	NA	0.993	NA	0.556	NA	0.464	NA	0.53	0.791	
1403	22	NA	NA	0.666	0.398	NA	NA	NA	1.278	NA	NA	NA	NA	NA	0.843	0.948	NA	1.021	0.975	NA	0.547	NA	0.854	NA	NA	1.086	NA	NA	0.38	0.731	NA	1.181	NA	0.744	NA	0.726	1.023	NA	NA	1.175	NA	NA	NA	NA	1.313	NA	1.107	NA	0.951	NA	0.384	1.052	
1404	22	NA	NA	1.495	1.328	NA	NA	NA	1.359	NA	NA	NA	NA	NA	0.86	1.405	NA	1.178	1.844	NA	1.096	NA	1.094	NA	NA	1.481	NA	NA	0.913	1.109	NA	1.316	NA	1.101	NA	1.11	1.081	NA	NA	1.47	NA	NA	NA	NA	2.031	NA	0.915	NA	1.645	NA	1.079	1.43	
1405	23	NA	NA	1.216	0.742	NA	NA	NA	0.753	NA	NA	NA	NA	NA	0.652	1.121	NA	0.51	0.957	NA	0.849	NA	0.94	NA	NA	1.723	NA	NA	1.047	1.08	NA	0.951	NA	1.169	NA	0.711	1.202	NA	NA	1.23	NA	NA	NA	NA	1.731	0.964	0.684	NA	1.343	NA	1.162	0.84	
1406	23	NA	NA	1.327	1.886	NA	NA	NA	1.026	NA	NA	NA	NA	NA	0.658	0.848	NA	0.836	1.038	NA	1.051	NA	1.177	NA	NA	1.258	NA	NA	1.399	1.162	NA	1.015	NA	1.009	NA	1.535	1.212	NA	NA	1.312	NA	NA	NA	NA	1.897	1.308	0.844	NA	1.423	NA	1.157	0.925	
1407	23	NA	NA	1.252	1.354	NA	NA	NA	0.935	NA	NA	NA	NA	NA	0.92	0.721	NA	0.737	0.9	NA	0.463	NA	1.22	NA	NA	1.104	NA	NA	1.126	1.182	NA	0.8	NA	0.822	NA	1.025	1.057	NA	NA	1.184	NA	NA	NA	NA	1.656	0.689	1.003	NA	1.29	NA	0.804	0.708	
1408	23	NA	NA	1.048	0.853	NA	NA	NA	0.927	NA	NA	NA	NA	NA	0.905	1.382	NA	0.743	0.915	NA	0.724	NA	0.981	NA	NA	1.25	NA	NA	0.913	1.374	NA	0.977	NA	0.99	NA	0.684	1.354	NA	NA	1.256	NA	NA	NA	NA	0.983	0.761	1.431	NA	1.264	NA	0.955	0.879	
1409	23	NA	NA	1.519	1.055	NA	NA	NA	1.183	NA	NA	NA	NA	NA	1.263	1.148	NA	0.872	1.525	NA	0.785	NA	1.44	NA	NA	1.275	NA	NA	1.858	1.82	NA	0.995	NA	1.209	NA	1.084	1.525	NA	NA	1.337	NA	NA	NA	NA	0.989	1.152	1.425	NA	1.563	NA	1.021	1.498	
1410	23	NA	NA	1.572	2.21	NA	NA	NA	1.408	NA	NA	NA	NA	NA	1.092	0.393	NA	1.094	0.986	NA	0.617	NA	1.344	NA	NA	0.744	NA	NA	1.53	1.441	NA	0.664	NA	0.738	NA	1.022	1.339	NA	NA	0.866	NA	NA	NA	NA	0.79	0.727	0.942	NA	1.163	NA	1.028	0.758	
1411	23	NA	NA	0.968	2.007	NA	NA	NA	1.397	NA	NA	NA	NA	NA	0.859	0.944	NA	0.711	1.289	NA	0.553	NA	1.103	NA	NA	0.826	NA	NA	0.433	1.095	NA	0.672	NA	1.023	NA	0.917	1.129	NA	NA	1.278	NA	NA	NA	NA	0.74	0.703	0.943	NA	1.373	NA	0.758	1.022	
1412	23	NA	NA	1.653	3.411	NA	NA	NA	1.385	NA	NA	NA	NA	NA	1.381	1.287	NA	1.543	1.097	NA	1.209	NA	1.061	NA	NA	0.874	NA	NA	1.642	1.171	NA	1.094	NA	0.939	NA	1.126	1.248	NA	NA	0.908	NA	NA	NA	NA	0.686	1.312	0.847	NA	1.08	NA	1.057	1.173	
1413	23	NA	NA	1.005	1.014	NA	NA	NA	0.589	NA	NA	NA	NA	NA	0.909	0.896	NA	0.589	0.608	NA	0.787	NA	0.776	NA	NA	0.728	NA	NA	0.283	1.24	NA	0.506	NA	0.875	NA	0.613	0.999	NA	NA	0.769	NA	NA	NA	NA	0.46	0.64	0.499	NA	0.517	NA	0.735	0.197	
