wateryr	natflowacft
1906	18214678.0000
1907	21234305.0000
1908	11773952.0000
1909	21841427.0000
1910	14736670.0000
1911	15125081.0000
1912	19082127.0000
1913	14472192.0000
1914	21066767.0000
1915	14137603.0000
1916	19187542.0000
1917	23849259.0000
1918	15750724.0000
1919	12951469.0000
1920	21927976.0000
1921	22703070.0000
1922	18669586.0000
1923	18343663.0000
1924	14639094.0000
1925	13410821.0000
1926	16114020.0000
1927	18551860.0000
1928	17577859.0000
1929	21407051.0000
1930	15283505.0000
1931	8631719.0000
1932	17545522.0000
1933	12130063.0000
1934	6627514.0000
1935	12280022.0000
1936	14485382.0000
1937	14161753.0000
1938	17920064.0000
1939	11718056.0000
1940	9380279.0000
1941	18319340.0000
1942	19428259.0000
1943	13624479.0000
1944	15512509.0000
1945	13912713.0000
1946	11062728.0000
1947	15916279.0000
1948	15880189.0000
1949	16662172.0000
1950	13317921.0000
1951	12485833.0000
1952	20900043.0000
1953	11204001.0000
1954	8368141.0000
1955	9795470.0000
1956	11505097.0000
1957	20159803.0000
1958	16899937.0000
1959	9232537.0000
1960	11974847.0000
1961	9247778.0000
1962	17769350.0000
1963	9259450.0000
1964	10801202.0000
1965	18866401.0000
1966	11622229.0000
1967	11808474.0000
1968	13508237.0000
1969	14849712.0000
1970	15344263.0000
1971	15328914.8615
1972	12639988.4051
1973	19454642.2860
1974	13514610.7794
1975	17040250.0070
1976	11467037.8275
1977	5629635.7227
1978	15119887.7885
1979	18035181.1183
1980	17688850.7859
1981	8796290.4057
1982	16721840.1480
1983	24449469.5991
1984	25275313.1128
1985	21227595.5629
1986	22619039.2190
1987	17000899.1488
1988	11842665.1722
1989	10160586.9881
1990	9314033.9204
1991	12318377.0550
1992	11025128.9078
1993	18157551.4874
1994	10684312.5885
1995	20172605.5878
1996	14549372.6328
1997	21176670.8532
1998	17184319.2476
1999	16713899.9409
2000	11057654.3384
2001	11048316.3917
2002	6229693.5977
2003	10497431.0113
2004	9433491.2536
2005	16838683.9980
