Year      Nino3
1300      0.238
1301      0.805
1302      0.996
1303      0.105
1304      0.246
1305      1.136
1306      0.669
1307     -0.178
1308     -0.491
1309      0.401
1310      0.491
1311      0.594
1312     -0.206
1313      1.632
1314      1.205
1315     -1.269
1316     -1.629
1317      0.209
1318       0.33
1319     -0.282
1320     -0.037
1321      0.583
1322     -0.347
1323     -0.094
1324     -0.685
1325      0.706
1326      0.225
1327      -0.14
1328       -0.2
1329      -0.45
1330      0.576
1331      0.867
1332      0.848
1333      0.938
1334       0.48
1335     -0.579
1336     -0.005
1337      0.808
1338     -1.733
1339      0.277
1340      0.394
1341     -0.276
1342     -0.116
1343      0.025
1344      0.298
1345      0.406
1346      0.254
1347      -1.66
1348     -0.125
1349     -0.007
1350     -0.252
1351     -0.433
1352     -0.257
1353      0.563
1354      0.487
1355     -1.036
1356      1.077
1357      0.098
1358      0.455
1359      0.741
1360     -1.018
1361     -0.023
1362     -0.221
1363      -0.96
1364      -0.49
1365     -0.677
1366      0.083
1367     -0.177
1368      0.997
1369     -0.893
1370      0.156
1371      -0.23
1372      0.458
1373      0.627
1374      0.197
1375     -1.181
1376     -0.671
1377     -0.337
1378      0.357
1379      0.031
1380      1.261
1381     -0.652
1382     -0.266
1383      0.679
1384     -0.793
1385      0.902
1386      0.052
1387       -0.6
1388      0.421
1389      0.255
1390     -1.138
1391      0.347
1392      0.667
1393      0.246
1394      1.417
1395        0.2
1396      0.347
1397     -1.256
1398      0.505
1399      -0.76
1400      0.226
1401     -0.583
1402      0.078
1403     -0.381
1404      0.701
1405      -0.55
1406      0.529
1407     -1.031
1408      0.731
1409      0.533
1410       0.24
1411     -0.438
1412       0.11
1413     -1.516
1414      0.774
1415     -0.928
1416     -0.437
1417     -0.169
1418     -0.581
1419     -1.098
1420     -0.156
1421     -1.224
1422     -0.636
1423     -0.744
1424      0.799
1425      0.665
1426      0.224
1427      0.978
1428      1.063
1429      0.002
1430      0.264
1431     -0.451
1432     -0.009
1433      0.081
1434      0.307
1435      0.908
1436      0.708
1437     -1.426
1438     -0.403
1439     -0.334
1440     -0.336
1441      0.865
1442     -1.046
1443     -0.111
1444     -0.118
1445     -1.331
1446     -0.591
1447     -0.475
1448      0.167
1449      1.435
1450     -0.338
1451       0.67
1452     -0.646
1453     -0.885
1454     -0.384
1455     -1.571
1456     -0.286
1457     -0.987
1458      0.225
1459     -0.573
1460      0.933
1461     -0.264
1462      0.782
1463     -0.325
1464      -0.88
1465      0.061
1466      1.256
1467      1.803
1468     -0.905
1469      0.513
1470      -0.38
1471     -1.143
1472      0.659
1473     -0.275
1474     -0.567
1475     -1.284
1476     -0.337
1477      0.451
1478      0.946
1479     -0.085
1480      0.069
1481      0.278
1482      0.545
1483      0.308
1484      2.363
1485      0.837
1486      1.477
1487     -0.475
1488     -0.895
1489      0.556
1490      0.414
1491     -0.119
1492      1.016
1493     -0.735
1494     -0.294
1495     -1.397
1496      0.037
1497     -1.504
1498      1.437
1499      1.301
1500       0.17
1501     -0.305
1502     -0.567
1503      0.278
1504      0.645
1505       0.43
1506      -0.98
1507     -0.189
1508     -0.561
1509      0.156
1510      0.889
1511      0.959
1512     -0.662
1513     -0.452
1514     -0.609
1515     -0.636
1516     -0.723
1517     -0.229
1518      0.477
1519      0.575
1520      0.584
1521     -0.076
1522     -0.512
1523      0.221
1524     -0.348
1525     -0.086
1526      0.751
1527     -0.138
1528     -0.657
1529      0.234
1530      0.388
1531      0.488
1532      -0.15
1533     -0.311
1534      0.449
1535     -0.098
1536      0.874
1537       0.71
1538     -0.599
1539      1.288
1540      0.974
1541      0.156
1542     -0.658
1543      0.499
1544     -0.204
1545      0.227
1546     -0.864
1547      0.252
1548     -0.603
1549      0.318
1550       1.59
1551      1.003
1552      0.155
1553      1.249
1554      0.426
1555     -0.194
1556      0.974
1557     -0.518
1558      0.657
1559     -0.056
1560     -1.201
1561     -0.648
1562      0.209
1563      0.096
1564      0.171
1565      0.505
1566     -0.473
1567     -1.344
1568     -0.875
1569     -0.594
1570     -0.279
1571     -1.436
1572     -1.012
1573     -0.756
1574      0.035
1575      0.023
1576     -0.667
1577      0.044
1578      0.014
1579     -1.272
1580     -0.892
1581     -0.038
1582      0.388
1583      0.382
1584     -0.837
1585      0.025
1586      1.033
1587     -0.038
1588     -0.135
1589     -0.768
1590     -0.208
1591      0.701
1592     -0.432
1593     -0.576
1594      1.764
1595      0.397
1596     -0.099
1597      0.395
1598      0.243
1599     -0.246
1600     -0.547
1601     -0.423
1602      0.555
1603      0.968
1604     -0.285
1605     -0.467
1606       0.38
1607       0.51
1608        0.4
1609      0.133
1610      0.911
1611     -0.169
1612      0.192
1613     -0.761
1614     -0.052
1615     -0.633
1616      0.025
1617     -0.143
1618      0.919
1619     -0.806
1620      0.857
1621      0.299
1622     -0.527
1623     -0.579
1624     -0.629
1625     -0.952
1626     -0.611
1627      0.093
1628      0.447
1629      0.687
1630      0.528
1631      0.089
1632     -0.196
1633     -0.871
1634      0.475
1635      1.385
1636      0.256
1637     -0.589
1638      0.273
1639      1.216
1640      0.857
1641      0.525
1642      0.972
1643     -0.066
1644     -0.081
1645      -0.75
1646      1.188
1647      0.176
1648     -1.516
1649      0.688
1650      0.658
1651      1.497
1652       0.28
1653     -1.403
1654     -0.979
1655      0.918
1656      1.071
1657     -0.721
1658      0.366
1659      -0.63
1660      0.347
1661      0.652
1662     -0.112
1663     -0.486
1664       -0.9
1665      0.521
1666     -0.201
1667      -0.35
1668     -1.185
1669      0.128
1670      -0.33
1671       0.99
1672     -0.641
1673     -0.555
1674      1.205
1675     -0.187
1676       -1.1
1677      0.512
1678      -0.38
1679     -0.034
1680      0.878
1681      0.435
1682      0.838
1683     -0.164
1684     -0.472
1685     -1.567
1686      0.467
1687      0.483
1688     -0.784
1689      0.324
1690      0.542
1691     -0.609
1692      0.777
1693      0.503
1694      0.282
1695      1.049
1696     -1.765
1697     -0.527
1698     -0.663
