700 Year Tree Ring ENSO Index Reconstructions
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 700 Year Tree Ring ENSO Index Reconstructions
LAST UPDATE: 9/2009 (Original receipt by WDC Paleo) 
CONTRIBUTOR: Ed Cook, Lamont-Doherty Earth Observatory 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2009-105 


WDC PALEO CONTRIBUTION SERIES CITATION: 
Cook, E.R., et al. 2009.  
Tree Ring 500 Year ENSO Index Reconstructions. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2009-105. 
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: 
Cook, E.R., R.D. D'Arrigo, and K.J. Anchukaitis. 2008. 
ENSO reconstructions from long tree-ring chronologies: 
Unifying the differences? 
Talk presented at a special workshop on 
"Reconciling ENSO Chronologies for the Past 500 Years", 
held in Moorea, French Polynesia on April 2-3, 2008.

ABSTRACT: 


GEOGRAPHIC REGION: Pacific
PERIOD OF RECORD: 1300-1979 AD (1980-2006 data are instrumental) 

FUNDING SOURCES: 

 

DESCRIPTION: 
Reconstructions of Niño 1+2, 3, 3.4, and 4 indices based on tree-ring 
data from Mexico and Texas.  The reconstructions go back to AD 1300, 
with the best verified portion beginning in AD 1400. Post-1979 data 
are all instrumental, reconstructions cover the period AD 1300-1979.

The four recons are very similar because they are based on only 
reconstructing the two leading modes (EOFs) of tropical Pacific 
December-January-February Sea Surface Temperature variability. 




DATA:

Year      Niño1+2     Niño3    Niño3.4      Niño4
1300       0.222      0.238      0.174     -0.012
1301       0.628      0.805      0.795      0.439
1302       0.799      0.996      1.031      0.637
1303       0.081      0.105      0.072      0.002
1304       0.172      0.246       0.27      0.163
1305       0.941      1.136       1.16      0.714
1306       0.577      0.669      0.677      0.433
1307      -0.095     -0.178     -0.184     -0.179
1308      -0.341     -0.491     -0.527     -0.451
1309       0.289      0.401      0.325     -0.058
1310       0.448      0.491      0.464      0.221
1311       0.511      0.594      0.532      0.253
1312      -0.136     -0.206     -0.236     -0.238
1313         1.3      1.632      1.761      1.242
1314       1.015      1.205      1.272      0.877
1315      -0.903     -1.269      -1.38     -1.095
1316      -1.417     -1.629     -1.698     -1.265
1317       0.165      0.209      0.221      0.125
1318        0.33       0.33      0.237      0.133
1319      -0.116     -0.282     -0.367     -0.369
1320      -0.036     -0.037     -0.054     -0.142
1321       0.453      0.583      0.589       0.35
1322      -0.191     -0.347     -0.432     -0.417
1323      -0.026     -0.094     -0.185     -0.276
1324      -0.435     -0.685     -0.792      -0.62
1325       0.541      0.706      0.689      0.387
1326       0.336      0.225      0.109     -0.075
1327      -0.095      -0.14     -0.124     -0.095
1328      -0.215       -0.2     -0.211     -0.155
1329      -0.319      -0.45     -0.544     -0.521
1330       0.433      0.576      0.555      0.289
1331       0.789      0.867      0.891      0.597
1332       0.811      0.848      0.836      0.436
1333       0.818      0.938      1.017      0.615
1334         0.4       0.48      0.481      0.208
1335      -0.433     -0.579     -0.649     -0.611
1336      -0.038     -0.005     -0.072     -0.255
1337       0.612      0.808      0.825      0.501
1338      -1.334     -1.733     -1.916     -1.402
1339       0.045      0.277      0.283      0.077
1340       0.364      0.394      0.358      0.226
1341      -0.183     -0.276     -0.311     -0.193
1342       -0.11     -0.116     -0.104     -0.105
1343       0.036      0.025     -0.023      -0.12
1344        0.28      0.298      0.258      0.079
1345       0.308      0.406      0.399      0.201
1346       0.212      0.254      0.231      0.041
1347      -1.313      -1.66     -1.808     -1.361
1348       -0.21     -0.125     -0.169     -0.226
1349      -0.014     -0.007     -0.137     -0.162
1350      -0.227     -0.252     -0.307     -0.312
1351      -0.337     -0.433     -0.501     -0.438
1352      -0.227     -0.257      -0.32     -0.293
1353       0.415      0.563      0.512       0.17
1354       0.394      0.487      0.457      0.209
1355      -0.868     -1.036     -1.074     -0.754
1356       0.725      1.077      1.175      0.773
1357       0.181      0.098     -0.002      -0.03
1358       0.409      0.455      0.405      0.062
1359         0.6      0.741        0.8       0.51
1360      -0.763     -1.018     -1.171     -1.024
1361      -0.056     -0.023     -0.069     -0.214
1362      -0.164     -0.221     -0.303     -0.302
1363      -0.842      -0.96     -1.029     -0.716
1364       -0.47      -0.49     -0.567     -0.518
1365       -0.52     -0.677     -0.835     -0.751
1366       0.068      0.083      0.035     -0.052
1367      -0.114     -0.177     -0.252     -0.258
1368       0.736      0.997      1.073      0.763
1369      -0.647     -0.893     -0.981     -0.724
1370       0.058      0.156      0.141     -0.071
1371      -0.168      -0.23     -0.321     -0.363
1372        0.34      0.458       0.44      0.226
1373       0.508      0.627      0.667      0.461
1374        0.13      0.197      0.204       0.13
1375      -0.904     -1.181     -1.264     -0.938
1376      -0.636     -0.671     -0.697     -0.468
1377      -0.272     -0.337     -0.454     -0.473
1378       0.321      0.357      0.316      0.176
1379       0.085      0.031      -0.04     -0.149
1380       0.954      1.261       1.38      0.963
1381      -0.481     -0.652      -0.69     -0.493
1382      -0.379     -0.266     -0.269     -0.316
1383       0.525      0.679      0.671      0.399
1384      -0.555     -0.793     -0.915     -0.696
1385       0.629      0.902      1.001      0.727
1386       0.162      0.052     -0.013     -0.102
1387      -0.459       -0.6     -0.609     -0.457
1388       0.256      0.421      0.504      0.364
1389       0.218      0.255       0.25      0.167
1390      -0.869     -1.138     -1.232     -0.876
1391       0.167      0.347      0.351      0.161
1392       0.559      0.667      0.644      0.379
1393        0.17      0.246      0.276      0.199
1394       1.062      1.417      1.559      1.115
1395       0.271        0.2      0.218      0.097
1396       0.283      0.347      0.376       0.11
1397      -1.037     -1.256     -1.377     -1.096
1398       0.291      0.505      0.546      0.365
1399        -0.5      -0.76     -0.911      -0.68
1400       0.206      0.226      0.233      0.136
1401       -0.45     -0.583     -0.639      -0.52
1402      -0.026      0.078      0.066     -0.017
1403      -0.284     -0.381     -0.435     -0.312
1404       0.572      0.701      0.702      0.416
1405        -0.4      -0.55     -0.624     -0.513
1406       0.336      0.529      0.532      0.286
1407      -0.748     -1.031      -1.17     -0.982
1408       0.521      0.731      0.769      0.512
1409        0.53      0.533      0.538       0.39
1410       0.197       0.24      0.166      0.007
1411      -0.369     -0.438     -0.391     -0.232
1412       0.046       0.11      0.088     -0.052
1413      -1.201     -1.516     -1.701     -1.342
1414       0.562      0.774      0.769      0.443
1415       -0.68     -0.928     -1.028     -0.738
1416      -0.423     -0.437     -0.477     -0.414
1417       -0.15     -0.169     -0.207     -0.214
1418      -0.397     -0.581     -0.641     -0.507
1419      -0.869     -1.098     -1.198     -0.911
1420      -0.185     -0.156      -0.16     -0.093
1421      -0.968     -1.224     -1.357      -1.03
1422      -0.579     -0.636     -0.658     -0.401
1423      -0.554     -0.744     -0.787     -0.462
1424       0.611      0.799      0.827      0.626
1425       0.715      0.665      0.529      0.214
1426       0.241      0.224      0.158     -0.045
1427       0.753      0.978      1.012       0.62
1428       0.912      1.063      1.128      0.761
1429       0.041      0.002      0.016     -0.004
1430        0.13      0.264       0.29       0.11
1431      -0.356     -0.451     -0.538     -0.492
1432      -0.055     -0.009     -0.048     -0.118
1433       0.059      0.081      0.036     -0.027
1434       0.241      0.307      0.339      0.243
1435       0.717      0.908      0.987      0.687
1436       0.564      0.708      0.773      0.552
1437      -1.191     -1.426     -1.493     -1.092
1438      -0.456     -0.403     -0.415     -0.309
1439      -0.243     -0.334      -0.45     -0.395
1440      -0.269     -0.336     -0.393     -0.262
1441       0.729      0.865      0.868      0.519
1442      -0.745     -1.046     -1.143     -0.889
1443      -0.157     -0.111     -0.053     -0.027
1444        -0.1     -0.118     -0.151     -0.161
1445      -1.075     -1.331     -1.443     -1.047
1446      -0.522     -0.591     -0.639     -0.501
1447      -0.398     -0.475     -0.559     -0.423
1448       0.185      0.167      0.068     -0.077
1449       1.131      1.435      1.469      0.925
1450      -0.299     -0.338     -0.353     -0.275
1451       0.535       0.67      0.652      0.346
1452      -0.447     -0.646     -0.742     -0.612
1453      -0.699     -0.885     -0.976      -0.82
1454      -0.297     -0.384     -0.467     -0.485
1455      -1.304     -1.571     -1.723     -1.311
1456       -0.31     -0.286     -0.368     -0.393
1457      -0.764     -0.987     -1.161     -0.963
1458       0.103      0.225      0.148     -0.082
1459      -0.323     -0.573     -0.709     -0.656
