YR   MON   NINO3          
1950   1   -1.64
1950   2   -1.85
1950   3   -0.43
1950   4   -0.76
1950   5   -1.14
1950   6   -0.74
1950   7   -0.41
1950   8   -0.44
1950   9   -0.71
1950  10   -0.57
1950  11   -1.15
1950  12   -0.64
1951   1   -0.51
1951   2    0.20
1951   3   -0.50
1951   4    0.27
1951   5   -0.02
1951   6    0.09
1951   7    0.96
1951   8    1.01
1951   9    0.62
1951  10    0.99
1951  11    1.01
1951  12    0.91
1952   1    0.29
1952   2    0.34
1952   3   -0.14
1952   4    0.16
1952   5   -0.42
1952   6   -0.62
1952   7   -0.46
1952   8   -0.10
1952   9   -0.24
1952  10   -0.27
1952  11   -0.42
1952  12   -0.63
1953   1    0.30
1953   2    0.45
1953   3    0.32
1953   4    0.82
1953   5    0.38
1953   6    0.53
1953   7    0.46
1953   8    0.17
1953   9    0.86
1953  10    0.24
1953  11    0.32
1953  12    0.27
1954   1    0.15
1954   2    0.04
1954   3   -0.03
1954   4   -1.15
1954   5   -1.04
1954   6   -1.04
1954   7   -1.12
1954   8   -1.22
1954   9   -1.08
1954  10   -1.07
1954  11   -0.89
1954  12   -0.95
1955   1   -1.03
1955   2   -0.10
1955   3   -0.81
1955   4   -0.51
1955   5   -1.48
1955   6   -1.06
1955   7   -0.66
1955   8   -0.76
1955   9   -1.73
1955  10   -1.67
1955  11   -2.25
1955  12   -1.48
1956   1   -1.33
1956   2   -0.41
1956   3   -0.60
1956   4   -0.51
1956   5   -0.41
1956   6   -0.34
1956   7   -0.65
1956   8   -0.73
1956   9   -0.95
1956  10   -0.46
1956  11   -1.06
1956  12   -0.71
1957   1   -0.81
1957   2    0.05
1957   3    0.26
1957   4    0.53
1957   5    0.49
1957   6    0.85
1957   7    1.00
1957   8    1.39
1957   9    0.48
1957  10    0.71
1957  11    1.24
1957  12    1.60
1958   1    1.48
1958   2    1.01
1958   3    0.69
1958   4    0.33
1958   5   -0.03
1958   6    0.22
1958   7    0.15
1958   8    0.14
1958   9   -0.62
1958  10   -0.30
1958  11   -0.17
1958  12    0.05
1959   1   -0.11
1959   2    0.07
1959   3   -0.29
1959   4    0.17
1959   5   -0.12
1959   6   -0.34
1959   7   -0.63
1959   8   -0.63
1959   9   -0.57
1959  10   -0.16
1959  11   -0.19
1959  12   -0.18
1960   1   -0.08
1960   2   -0.44
1960   3   -0.13
1960   4   -0.09
1960   5   -0.43
1960   6   -0.41
1960   7   -0.22
1960   8   -0.06
1960   9   -0.01
1960  10   -0.64
1960  11   -0.83
1960  12   -0.43
1961   1   -0.51
1961   2    0.06
1961   3   -0.21
1961   4    0.14
1961   5   -0.14
1961   6    0.25
1961   7   -0.76
1961   8   -0.69
1961   9   -1.22
1961  10   -0.92
1961  11   -0.60
1961  12   -0.22
1962   1   -0.27
1962   2   -0.25
1962   3   -0.57
1962   4   -0.80
1962   5   -0.81
1962   6   -0.41
1962   7   -0.28
1962   8   -0.02
1962   9   -0.62
1962  10   -0.62
1962  11   -0.85
1962  12   -0.93
1963   1   -0.56
1963   2   -0.55
1963   3   -0.14
1963   4    0.18
1963   5   -0.10
1963   6    0.30
1963   7    0.85
1963   8    0.90
1963   9    0.61
1963  10    0.67
1963  11    0.80
1963  12    0.97
1964   1    0.40
1964   2   -0.02
1964   3   -0.43
1964   4   -0.98
1964   5   -1.66
1964   6   -1.33
1964   7   -0.70
1964   8   -1.14
1964   9   -0.89
1964  10   -0.76
1964  11   -1.07
1964  12   -1.39
1965   1   -0.82
1965   2   -0.27
1965   3   -0.12
1965   4    0.27
1965   5    0.55
1965   6    0.82
1965   7    1.16
1965   8    1.25
1965   9    1.20
1965  10    1.29
1965  11    1.43
1965  12    1.55
1966   1    1.17
1966   2    0.53
1966   3    0.03
1966   4    0.13
1966   5   -0.84
1966   6   -0.17
1966   7   -0.09
1966   8   -0.30
1966   9   -0.66
1966  10   -0.39
1966  11   -0.71
1966  12   -0.79
1967   1   -0.49
1967   2   -0.14
1967   3   -0.67
1967   4   -0.88
1967   5   -0.30
1967   6    0.17
1967   7   -0.45
1967   8   -0.72
1967   9   -1.17
1967  10   -1.09
1967  11   -0.97
1967  12   -0.87
1968   1   -1.12
1968   2   -1.45
1968   3   -1.15
1968   4   -0.70
1968   5   -0.93
1968   6   -0.22
1968   7    0.32
1968   8    0.31
1968   9    0.12
1968  10    0.23
1968  11    0.37
1968  12    0.64
1969   1    0.76
1969   2    0.39
1969   3    0.61
1969   4    0.49
1969   5    0.96
1969   6    0.72
1969   7    0.22
1969   8    0.55
1969   9    0.61
1969  10    0.77
1969  11    0.78
1969  12    1.18
1970   1    0.92
1970   2    0.21
1970   3   -0.15
1970   4    0.06
1970   5   -0.69
1970   6   -1.00
1970   7   -1.71
1970   8   -1.40
1970   9   -1.26
1970  10   -1.21
1970  11   -1.54
1970  12   -1.68
1971   1   -1.26
1971   2   -1.41
1971   3   -0.92
1971   4   -0.71
1971   5   -0.68
1971   6   -0.66
1971   7   -0.47
1971   8   -0.81
1971   9   -0.89
1971  10   -0.98
1971  11   -1.05
1971  12   -1.14
